scenario_id,category,outcome,final_dist_to_goal,strict_success_025m,min_clearance,path_length,total_steps,mean_linear_vel,mean_angular_vel,max_linear_vel,oscillation_detected,no_turn_detected,fallback_used_count,failure_reason
RANDOM_3,RANDOM,SUCCESS,0.2409,True,0.4004,7.586,286,0.2628,0.1523,0.3402,False,False,0,
RANDOM_4,RANDOM,COLLISION,6.8395,False,0.3001,10.893,217,0.1437,0.3009,0.3362,False,False,0,EXCESSIVE_SPEED
RANDOM_5,RANDOM,SUCCESS,0.2465,True,0.9745,7.46,224,0.2698,0.2519,0.3432,False,False,0,
RANDOM_6,RANDOM,SUCCESS,0.2478,True,0.3214,9.698,246,0.2583,0.2625,0.3407,False,False,0,
RANDOM_7,RANDOM,SUCCESS,0.2455,True,0.5611,6.599,218,0.2986,0.1832,0.3378,False,False,0,
RANDOM_8,RANDOM,SUCCESS,0.2462,True,0.5101,7.976,105,0.2024,0.5173,0.3419,False,False,0,
RANDOM_9,RANDOM,SUCCESS,0.2351,True,0.5944,5.668,190,0.2799,0.2807,0.3386,False,False,0,
RANDOM_10,RANDOM,SUCCESS,0.2242,True,0.3429,13.165,338,0.2304,0.3098,0.3388,False,False,0,
RANDOM_11,RANDOM,SUCCESS,0.2495,True,0.491,28.797,409,0.2456,0.2146,0.3392,False,False,0,
RANDOM_12,RANDOM,SUCCESS,0.2433,True,0.3048,11.486,275,0.2326,0.3201,0.338,False,False,0,
RANDOM_13,RANDOM,SUCCESS,0.2466,True,0.7764,7.489,214,0.2825,0.2528,0.339,False,False,0,
RANDOM_14,RANDOM,SUCCESS,0.249,True,0.5874,12.633,309,0.2233,0.3634,0.3388,False,False,0,
RANDOM_15,RANDOM,SUCCESS,0.2332,True,0.6944,19.828,205,0.2972,0.2042,0.3363,False,False,0,
RANDOM_16,RANDOM,SUCCESS,0.2434,True,0.4493,15.197,300,0.2603,0.2981,0.3432,False,False,0,
RANDOM_17,RANDOM,SUCCESS,0.2337,True,0.7686,4.357,78,0.2817,0.4869,0.3402,False,False,0,
RANDOM_18,RANDOM,COLLISION,4.6582,False,0.3004,5.467,184,0.2813,0.2018,0.339,False,False,0,LATE_OBSTACLE_REACTION
RANDOM_19,RANDOM,SUCCESS,0.2464,True,0.3504,12.389,301,0.2723,0.1849,0.3379,False,False,0,
RANDOM_20,RANDOM,SUCCESS,0.2405,True,0.685,8.442,285,0.262,0.1524,0.3411,False,False,0,
